"ID";"HUMEDAD";"LUMINOSIDAD";"NITROGENO";"POTASIO";"FOSFORO";"ACIDEZ";"TEMP"
"13058";"58,9895";"5,48422";"1,5881";"390,226";"66,781";"2,54734";"39,1151"
"13059";"22,751";"8,17935";"4,12512";"374,396";"48,0878";"9,00602";"11,7813"
"13060";"90,5582";"3,85416";"5,88952";"394,739";"365,362";"6,50281";"25,3608"
"13061";"57,1837";"6,71879";"4,8332";"182,173";"271,413";"2,79249";"38,4486"
"13062";"1,96377";"9,17403";"0,096006";"462,434";"128,449";"5,25633";"11,743"
"13063";"56,3087";"15,4444";"4,39698";"245,561";"206,441";"1,48476";"20,0752"
"13064";"65,4706";"6,72505";"4,24095";"470,836";"373,419";"7,84376";"38,7502"
"13065";"100,454";"16,1034";"2,42657";"309,568";"104,106";"2,70217";"18,1616"
"13066";"65,8369";"17,4905";"4,12481";"497,045";"146,398";"2,49371";"33,1101"
"13067";"31,3377";"1,99413";"4,16632";"179,988";"160,584";"6,78744";"5,33389"
"13068";"91,1134";"14,5023";"2,44521";"383,143";"77,6948";"9,20759";"22,5824"
"13069";"2,48577";"12,2694";"3,08354";"462,049";"180,891";"2,89492";"37,598"
"13070";"16,8634";"14,5345";"1,50052";"408,841";"247,814";"0,101318";"29,1107"
"13071";"49,2968";"14,879";"0,059673";"393,213";"35,4149";"1,63746";"49,7101"
"13072";"63,3431";"12,4899";"0,3008";"178,881";"170,788";"5,53442";"16,1797"
"13073";"91,4857";"4,85169";"3,40163";"493,978";"267,101";"5,191";"22,2147"
"13074";"35,7732";"8,43699";"5,77206";"425,45";"177,192";"6,51546";"9,17522"
"13075";"6,26708";"0,795675";"4,83765";"498,534";"330,189";"1,49434";"46,0984"
"13076";"31,6695";"3,5756";"5,20734";"468,699";"115,598";"6,55928";"11,6975"
"13077";"38,1089";"4,23765";"3,23421";"240";"11,7566";"1,59591";"37,9051"
"13078";"16,8512";"15,5475";"3,21494";"351,576";"363,421";"8,18861";"25,3913"
"13079";"103,848";"11,805";"5,07403";"171,547";"129,535";"6,30153";"14,0301"
"13080";"9,07973";"8,30378";"4,45865";"445,543";"16,0558";"3,43644";"48,5517"
"13081";"5,3042";"2,25275";"4,68441";"174,75";"349,22";"3,56783";"2,19279"
"13082";"31,3263";"2,00608";"3,97709";"36,4154";"289,333";"9,50733";"12,5"
"13083";"36,44";"10,6419";"5,71024";"284,174";"189,224";"8,13799";"27,5213"
"13084";"97,9216";"7,01504";"5,03606";"302,248";"369,587";"4,86792";"32,6134"
"13085";"84,5572";"8,1313";"0,138062";"429,019";"87,9791";"2,02289";"46,422"
"13086";"99,909";"2,314";"5,56545";"424,678";"226,613";"5,36525";"27,1789"
"13087";"97,3028";"17,8951";"1,82884";"166,628";"33,5335";"2,10554";"25,8234"
"13088";"104,119";"15,2035";"4,55044";"253,303";"256,516";"1,78897";"37,9749"
"13089";"105,753";"0,047304";"0,565149";"178,277";"326,379";"0,732682";"28,0979"
"13090";"100,266";"12,5975";"4,50882";"436,817";"314,545";"7,3276";"32,0481"
"13091";"14,1099";"2,781";"5,28462";"66,5394";"307,147";"9,19729";"44,035"
"13092";"91,0525";"1,253";"5,68706";"228,665";"280,904";"4,18689";"41,3813"
"13093";"27,4611";"7,45477";"4,82891";"212,183";"168,268";"2,27043";"5,90929"
"13094";"52,182";"7,34347";"3,25942";"151,413";"43,4724";"1,46369";"23,0148"
"13095";"22,6302";"7,38077";"0,630139";"174,266";"281,156";"7,32421";"33,2721"
"13096";"26,6972";"8,67744";"5,51571";"115,827";"271,306";"6,26698";"21,7813"
"13097";"104,823";"5,48897";"3,00813";"15,7771";"379,349";"4,68615";"28,8685"
"13098";"3,14074";"15,6517";"4,92803";"495,846";"32,1601";"7,75098";"33,2684"
"13099";"101,819";"3,20106";"0,247055";"255,108";"323,526";"2,0274";"35,4995"
"13100";"7,19874";"0,632053";"2,68182";"396,529";"54,5051";"4,32466";"8,97634"
"13101";"56,9758";"1,14835";"4,68434";"19,3642";"13,8044";"0,863743";"47,773"
"13102";"32,9611";"4,41668";"3,50348";"321,425";"176,07";"6,73506";"27,3515"
"13103";"25,0294";"14,674";"5,94964";"199,991";"31,8521";"5,27816";"4,43178"
"13104";"69,1";"0,874944";"2,26657";"30,3645";"268,473";"9,55807";"13,8318"
"13105";"17,7728";"15,9042";"0,280163";"123,323";"297,992";"0,702735";"1,94802"
"13106";"18,9473";"17,5842";"3,49893";"267,231";"269,268";"5,91329";"49,8013"
"13107";"11,6558";"13,6424";"3,43425";"424,664";"328,916";"0,666892";"49,908"
"13108";"18,8657";"7,23575";"4,28772";"470,291";"271,531";"1,25525";"17,5241"
"13109";"22,324";"16,6847";"3,50864";"296,086";"173,882";"8,00069";"18,7756"
"13110";"11,2606";"9,19408";"2,3235";"84,1449";"132,574";"1,48488";"14,2737"
"13111";"82,0359";"3,56864";"1,62999";"255,283";"59,8464";"9,19844";"31,9943"
"13112";"1,22476";"16,5176";"5,70056";"358,966";"80,818";"4,71276";"8,13418"
"13113";"61,519";"6,19182";"2,2298";"221,566";"41,6833";"5,78203";"39,2286"
"13114";"42,0418";"0,766034";"2,208";"493,165";"121,553";"4,55657";"35,0125"
"13115";"14,7977";"6,95369";"1,79576";"371,258";"50,5603";"7,55448";"30,1415"
"13116";"28,9443";"5,05391";"1,09487";"370,145";"287,08";"4,04034";"35,6078"
"13117";"28,8503";"6,38959";"5,71177";"268,122";"197,138";"4,90576";"32,8265"
"13118";"65,4615";"11,0832";"3,49891";"414,227";"187,754";"4,5265";"27,6583"
"13119";"35,3625";"5,06142";"0,690712";"327,931";"68,9973";"0,443749";"3,21523"
"13120";"108,53";"10,2302";"1,01172";"94,31";"154,352";"5,03578";"23,4769"
"13121";"96,8839";"8,71126";"2,51744";"297,957";"6,01116";"9,74263";"48,7846"
"13122";"103,979";"2,84681";"5,39225";"419,989";"104,578";"1,97347";"34,3375"
"13123";"99,1462";"11,8098";"3,99177";"249,779";"100,301";"5,82331";"38,4576"
"13124";"90,771";"16,4396";"3,0195";"364,545";"152,259";"8,762";"47,5166"
"13125";"49,9819";"1,14032";"3,31687";"467,017";"354,827";"3,93588";"44,0938"
"13126";"15,6173";"12,6007";"5,46887";"490,648";"359,751";"8,59974";"19,1082"
"13127";"51,1628";"11,7578";"1,12646";"99,7896";"71,9362";"6,1532";"11,7099"
"13128";"72,3029";"11,961";"5,72738";"265,404";"178,795";"0,807651";"18,6152"
"13129";"88,3944";"9,85414";"4,95375";"124,937";"57,7585";"8,62053";"34,8801"
"13130";"33,3632";"6,96267";"1,48445";"209,157";"346,352";"7,98583";"10,0992"
"13131";"22,3843";"13,0978";"4,08903";"194,953";"82,4139";"4,95715";"22,0638"
"13132";"64,2759";"3,70811";"3,1929";"278,715";"233,491";"4,9614";"46,0644"
"13133";"10,7002";"10,6626";"3,17643";"50,2854";"75,9177";"6,94822";"11,8248"
"13134";"39,649";"15,8264";"0,344718";"479,522";"23,3381";"9,33911";"38,9055"
"13135";"98,0351";"14,9216";"1,41278";"454,281";"308,286";"2,41272";"9,00776"
"13136";"51,9074";"10,1901";"4,25781";"265,004";"397,627";"9,00793";"44,5682"
"13137";"89,4061";"15,8025";"4,13299";"418,102";"374,166";"3,15549";"6,77883"
"13138";"48,3984";"15,9106";"3,03904";"235,446";"362,898";"7,92296";"45,128"
"13139";"88,9011";"12,6297";"0,900596";"189,292";"100,448";"4,73002";"38,4938"
"13140";"0,165579";"16,465";"4,43276";"433,404";"358,168";"6,11883";"49,8507"
"13141";"3,25615";"4,8967";"0,071235";"323,224";"335,012";"7,93722";"19,0946"
"13142";"48,0814";"2,59937";"4,94734";"33,0478";"196,145";"0,803999";"6,07663"
"13143";"86,592";"16,7852";"4,69138";"438,201";"107,482";"3,57784";"32,9562"
"13144";"18,1121";"17,3925";"2,73042";"265,583";"166,85";"9,09204";"39,9054"
"13145";"80,3473";"2,39591";"4,89893";"350,689";"147,687";"9,75137";"6,88975"
"13146";"75,3684";"16,8906";"2,70822";"74,4541";"391,714";"9,86532";"22,6062"
"13147";"73,1274";"8,62214";"1,6159";"421,479";"380,068";"2,85351";"15,7053"
"13148";"96,7204";"8,91537";"1,25562";"120,384";"57,368";"5,73643";"30,2808"
"13149";"28,0673";"10,6357";"1,77373";"290,46";"224,925";"4,83117";"1,04605"
"13150";"30,5171";"13,7933";"4,85408";"205,265";"142,511";"5,9041";"7,96548"
"13151";"108,417";"15,017";"0,488113";"405,602";"123,496";"9,57919";"47,2696"
"13152";"49,6667";"9,4399";"1,54735";"257,556";"77,6922";"8,95872";"28,765"
"13153";"1,07668";"8,7295";"1,1664";"444,631";"269,527";"1,30535";"8,90249"
"13154";"81,3936";"4,85715";"1,90099";"314,434";"358,159";"2,08278";"14,5757"
"13155";"46,4198";"5,19661";"0,015028";"174,908";"198,161";"6,17822";"47,1062"
"13156";"50,146";"0,379391";"0,400101";"429,633";"190,239";"5,92732";"37,3061"
"13157";"107,677";"10,2053";"4,24684";"81,713";"288,196";"3,98461";"47,7716"
"13158";"100,37";"8,85182";"0,348906";"240,899";"212,7";"0,987702";"42,8246"
"13159";"107,874";"14,5276";"0,826423";"55,7432";"344,406";"6,90886";"30,8276"
"13160";"88,4223";"6,93839";"2,95125";"88,1848";"349,373";"4,0542";"12,2854"
"13161";"54,4447";"2,92018";"0,417225";"30,6494";"147,246";"4,21353";"11,3821"
"13162";"62,3334";"8,67528";"0,439175";"293,566";"193,381";"8,56979";"46,9144"
"13163";"70,2639";"15,1999";"4,59382";"383,715";"290,585";"4,42846";"46,4013"
"13164";"30,4287";"10,614";"4,30639";"10,1916";"175,483";"8,32768";"10,9602"
"13165";"80,976";"13,5197";"3,77481";"259,294";"179,926";"5,20262";"43,8449"
"13166";"20,4718";"15,8543";"5,82031";"223,82";"305,794";"2,06728";"12,0301"
"13167";"20,9311";"0,647849";"1,28926";"496,111";"209,007";"2,28332";"46,2893"
"13168";"25,4334";"13,086";"4,52282";"158,389";"374,711";"9,76632";"40,9424"
"13169";"51,9732";"0,73301";"5,94819";"75,6041";"208,422";"7,62114";"48,119"
"13170";"74,9161";"16,5581";"3,87594";"207,38";"383,503";"1,87821";"36,3878"
"13171";"46,9359";"0,055046";"1,34132";"79,8214";"307,383";"6,76904";"41,9855"
"13172";"94,5317";"0,265703";"3,73598";"487,139";"234,189";"3,47241";"28,8418"
"13173";"18,7707";"16,7495";"1,39305";"55,3366";"231,735";"8,79694";"38,8929"
"13174";"26,7129";"3,12653";"1,19407";"195,388";"343,602";"5,74656";"18,2678"
"13175";"22,3744";"14,4435";"1,871";"158,803";"159,399";"9,18603";"47,1736"
"13176";"45,725";"5,09239";"2,07164";"11,095";"297,99";"5,26971";"4,39963"
"13177";"94,7342";"3,15059";"5,35977";"392,776";"273,572";"1,74968";"19,7874"
"13178";"47,7451";"0,462114";"2,19876";"24,3212";"128,63";"4,71972";"24,8113"
"13179";"104,648";"6,893";"1,40882";"59,5772";"365,954";"2,93637";"14,3012"
"13180";"19,0157";"2,88705";"0,817999";"38,9908";"169,663";"6,64272";"10,8613"
"13181";"38,2765";"10,7578";"4,10463";"499,398";"191,729";"3,116";"40,1047"
"13182";"99,7118";"2,24132";"4,25626";"216,944";"174,376";"3,49834";"43,5139"
"13183";"61,6144";"17,3659";"3,01948";"3,47304";"57,7813";"9,71322";"3,55648"
"13184";"83,1716";"17,8271";"1,55592";"88,6553";"13,7471";"8,95819";"21,6976"
"13185";"18,4796";"14,2563";"3,26353";"11,1077";"79,6787";"7,63378";"45,4862"
"13186";"72,9432";"7,52551";"0,504758";"140,958";"308,912";"0,799";"1,48036"
"13187";"34,3416";"0,536427";"1,24534";"23,7052";"253,122";"3,6084";"44,3754"
"13188";"0,251598";"14,0922";"5,06668";"30,4109";"205,484";"2,0747";"37,8639"
"13189";"102,99";"10,0732";"1,81346";"195,329";"339,555";"0,946139";"24,1738"
"13190";"37,306";"6,90523";"0,941094";"1,64542";"167,441";"3,37719";"9,81994"
"13191";"105,6";"8,06017";"5,19874";"456,741";"245,3";"2,66342";"33,7345"
"13192";"75,9234";"14,8791";"5,06454";"115,293";"235,052";"9,99769";"23,9494"
"13193";"11,469";"10,8595";"4,48423";"217,482";"217,734";"8,4019";"24,4142"
"13194";"33,2937";"11,471";"3,95501";"468,97";"231,937";"2,69906";"22,5276"
"13195";"54,1454";"3,55528";"2,95033";"137,803";"193,821";"3,90262";"34,529"
"13196";"88,7321";"8,85625";"0,07284";"237,429";"258,15";"1,69703";"8,47489"
"13197";"83,2018";"1,94311";"3,51443";"485,484";"65,1074";"1,69023";"45,7807"
"13198";"9,29108";"15,5485";"4,14146";"430,404";"99,6321";"6,99969";"48,4214"
"13199";"106,342";"1,90492";"5,44002";"140,832";"375,741";"2,22636";"42,9979"
"13200";"97,457";"0,191462";"5,09097";"75,4962";"258,54";"9,34767";"27,8881"
"13201";"105,135";"12,9103";"1,02843";"470,202";"111,029";"0,876418";"29,4807"
"13202";"105,232";"8,6502";"5,54075";"377,142";"300,581";"9,08187";"16,856"
"13203";"85,1318";"6,99045";"3,66377";"49,3368";"262,127";"2,71012";"38,5194"
"13204";"58,5413";"11,1915";"2,11671";"0,747374";"139,969";"3,42065";"43,3966"
"13205";"26,6955";"13,8299";"5,27435";"368,77";"31,0861";"7,16098";"34,0391"
"13206";"28,9824";"9,66259";"0,018286";"261,27";"330,032";"9,76682";"20,4485"
"13207";"71,985";"4,37541";"5,44196";"356,981";"5,63298";"3,53814";"14,0713"
"13208";"82,3469";"8,13495";"0,816499";"8,66921";"356,931";"2,14074";"21,2716"
"13209";"20,1783";"10,4104";"2,65425";"143,005";"142,735";"7,74063";"40,8493"
"13210";"98,4406";"1,03781";"1,35022";"93,7177";"115,034";"8,65788";"27,2616"
"13211";"11,5544";"11,5981";"1,7018";"206,72";"274,123";"6,68209";"28,4811"
"13212";"2,56864";"12,0104";"5,78707";"334,076";"60,1592";"7,01376";"5,27557"
"13213";"82,8815";"17,723";"3,11422";"102,603";"37,767";"0,473639";"0,884139"
"13214";"107,579";"12,7239";"2,89249";"474,867";"370,181";"3,87298";"45,5918"
"13215";"72,8504";"7,03559";"5,71701";"337,99";"103,113";"1,24853";"6,10728"
"13216";"2,46486";"12,6281";"4,62574";"194,86";"270,273";"3,33017";"31,118"
"13217";"85,3532";"1,77302";"3,23488";"302,128";"291,512";"0,632123";"42,1377"
"13218";"104,296";"12,1766";"3,64313";"466,939";"363,972";"2,93236";"34,7883"
"13219";"73,2828";"3,22348";"0,558012";"419,498";"311,082";"1,90265";"9,43334"
"13220";"62,0572";"5,12823";"5,06412";"73,8414";"360,007";"3,56969";"36,7599"
"13221";"85,0249";"0,059021";"1,00905";"379,645";"370,766";"7,0777";"16,3944"
"13222";"35,0827";"8,33211";"3,45012";"407,288";"63,1554";"0,051547";"25,8958"
"13223";"53,0522";"13,7543";"5,85962";"457,812";"145,508";"8,51206";"30,8525"
"13224";"105,166";"4,891";"3,8426";"215,28";"396,653";"4,14395";"39,2652"
"13225";"100,398";"16,8385";"1,66322";"451,47";"368,288";"2,27492";"30,5718"
"13226";"0,768902";"14,3309";"5,57801";"72,267";"299,534";"5,01788";"24,0591"
"13227";"34,1841";"11,7486";"4,96502";"474,956";"313,721";"2,16336";"25,739"
"13228";"106,581";"17,687";"0,166915";"335,614";"332,971";"7,87126";"33,6214"
"13229";"0,213028";"14,3912";"3,40699";"140,733";"91,4471";"1,4676";"34,2098"
"13230";"31,2266";"4,27921";"2,16458";"47,6954";"155,771";"5,74306";"10,5648"
"13231";"20,7506";"14,2278";"1,08633";"278,767";"244,277";"8,43011";"35,8243"
"13232";"80,774";"17,2049";"3,01244";"449,895";"246,879";"9,34069";"33,925"
"13233";"50,06";"17,3265";"2,17947";"360,95";"336,036";"1,14408";"37,7988"
"13234";"102,352";"14,5741";"0,545378";"477,214";"313,777";"9,20957";"33,3826"
"13235";"6,59266";"10,6651";"0,677876";"159,692";"87,1179";"2,1273";"14,2989"
"13236";"68,7888";"11,729";"1,85286";"330,457";"146,012";"2,47983";"38,2546"
"13237";"79,2879";"13,8742";"0,849241";"93,2489";"9,28307";"1,58401";"18,3902"
"13238";"99,8041";"2,58191";"4,88982";"137,134";"393,916";"5,30054";"8,27147"
"13239";"20,3305";"10,7496";"0,166464";"457,166";"69,7067";"2,69373";"9,66872"
"13240";"107,623";"16,593";"2,77364";"366,528";"247,583";"9,34082";"49,6969"
"13241";"36,2739";"13,6789";"1,72636";"321,154";"176,72";"1,53494";"11,5902"
"13242";"31,124";"0,848016";"5,38257";"365,42";"142,566";"8,70081";"28,2729"
"13243";"102,529";"5,64038";"4,65064";"166,052";"313,966";"6,79303";"38,3717"
"13244";"10,5915";"10,2538";"0,922689";"23,3776";"321,735";"6,16507";"33,0224"
"13245";"47,3001";"12,1208";"1,48547";"280,894";"211,461";"9,02596";"30,7767"
"13246";"48,6051";"8,80866";"4,8985";"139,347";"35,9247";"9,31715";"15,8965"
"13247";"97,2535";"5,79817";"4,22132";"107,274";"337,282";"3,85583";"35,7411"
"13248";"17,5213";"10,1143";"1,15779";"182,345";"72,351";"3,26469";"37,9032"
"13249";"14,2399";"14,547";"2,5402";"102,053";"367,635";"9,25092";"16,0125"
"13250";"82,9892";"8,40437";"0,989824";"339,964";"10,4602";"1,26979";"30,4304"
"13251";"78,3863";"6,11887";"4,55048";"48,3734";"251,807";"6,50478";"26,1141"
"13252";"6,18135";"7,36468";"3,87152";"136,922";"202,345";"4,43186";"45,1778"
"13253";"54,4941";"17,7914";"2,46454";"178,802";"257,632";"0,962066";"48,489"
"13254";"80,3324";"12,2926";"1,18659";"123,055";"331,931";"4,45407";"25,4088"
"13255";"94,2592";"3,06164";"1,73047";"452,89";"332,444";"6,41795";"37,8578"
"13256";"48,6485";"1,08789";"0,283606";"134,045";"240,471";"0,807223";"20,5428"
"13257";"101,124";"7,42041";"3,05694";"402,335";"272,575";"5,85359";"16,1498"
"13258";"4,51904";"7,87824";"4,98989";"494,54";"74,4252";"5,39047";"48,0233"
"13259";"80,0368";"12,8608";"0,704857";"208,005";"76,4134";"8,99878";"15,4956"
"13260";"26,573";"9,95235";"4,07721";"319,187";"374,721";"5,22638";"28,8762"
"13261";"60,7483";"13,4645";"3,43617";"178,765";"134,77";"3,16602";"27,8226"
"13262";"102,42";"10,8563";"5,57465";"68,8271";"382,949";"9,22782";"10,4134"
"13263";"89,1955";"5,79956";"3,50498";"128,465";"109,011";"0,81144";"34,1364"
"13264";"104,725";"14,762";"0,824002";"162,368";"389,36";"0,326937";"35,9353"
"13265";"74,0451";"4,37398";"5,76546";"281,52";"86,9155";"0,182259";"24,4003"
"13266";"90,407";"3,47357";"1,78548";"318,988";"77,9393";"8,93742";"24,8417"
"13267";"19,4802";"0,282938";"2,41551";"137,645";"339,735";"5,90161";"7,75674"
"13268";"41,8898";"15,9634";"4,98574";"236,767";"121,818";"0,249943";"33,784"
"13269";"63,1095";"9,48869";"3,19481";"262,378";"48,3497";"6,63838";"49,5965"
"13270";"68,3222";"2,80992";"0,029346";"23,6659";"320,838";"4,70467";"29,319"
"13271";"76,5233";"17,6611";"4,57846";"23,8193";"215,967";"6,83531";"9,2753"
"13272";"71,6858";"17,2774";"4,79079";"297,086";"279,864";"3,03758";"23,6919"
"13273";"55,95";"9,77449";"4,12727";"74,5759";"371,678";"6,98834";"43,538"
"13274";"27,7075";"9,94568";"1,0129";"474,071";"388,925";"7,37942";"22,8706"
"13275";"98,018";"0,302783";"0,368421";"232,997";"248,225";"7,40835";"26,352"
"13276";"37,7471";"6,00874";"0,314956";"485,877";"399,77";"1,60949";"49,7021"
"13277";"44,1098";"7,72927";"0,843711";"48,1739";"350,165";"8,47688";"23,5285"
"13278";"107,828";"7,50436";"0,581538";"118,516";"196,777";"9,9192";"2,87866"
"13279";"9,67568";"7,06";"4,88944";"338,073";"219,296";"1,53272";"34,9303"
"13280";"51,775";"5,62807";"0,971667";"367,721";"357,531";"3,79674";"28,9099"
"13281";"27,5351";"15,5961";"0,560935";"172,321";"262,803";"2,22948";"44,7878"
"13282";"32,3826";"4,71875";"5,30114";"144,593";"127,905";"0,232758";"23,6351"
"13283";"101,638";"12,228";"4,22503";"90,1309";"387,069";"1,07097";"22,672"
"13284";"109,189";"7,34329";"4,25538";"274,87";"256,872";"7,8716";"43,4618"
"13285";"24,9955";"11,5273";"3,11368";"410,265";"88,0437";"8,00642";"33,8758"
"13286";"86,4231";"8,54961";"0,035533";"266,561";"94,4603";"6,63126";"4,54855"
"13287";"19,1647";"8,58362";"4,46442";"239,976";"380,995";"8,68585";"36,4403"
"13288";"2,6463";"10,7044";"0,736148";"110,099";"306,621";"3,44989";"48,6562"
"13289";"92,1308";"3,47918";"3,93124";"365,335";"290,357";"9,34547";"49,2271"
"13290";"68,7688";"14,8257";"0,893621";"71,9196";"335,164";"2,74505";"32,1824"
"13291";"12,1886";"15,0996";"1,94316";"282,861";"131,911";"8,79705";"7,23455"
"13292";"79,0854";"12,5413";"1,1054";"207,149";"77,6793";"7,42853";"38,7889"
"13293";"1,23636";"11,2736";"3,59467";"75,78";"149,954";"4,48244";"42,127"
"13294";"74,476";"15,579";"5,80925";"263,873";"288,115";"8,10221";"1,97678"
"13295";"76,9853";"9,37477";"5,29202";"404,581";"58,5431";"7,5585";"35,2716"
"13296";"5,61273";"10,8394";"5,98991";"357,805";"55,9323";"5,35632";"1,77846"
"13297";"44,2089";"13,4788";"1,24972";"450,014";"8,18954";"6,92871";"9,92617"
"13298";"45,4526";"3,67092";"2,13369";"414,658";"121,973";"2,31547";"35,6433"
"13299";"51,3962";"11,737";"0,176393";"401,625";"298,298";"5,32708";"29,575"
"13300";"86,5924";"10,8373";"1,02561";"472,91";"268,218";"1,21294";"32,5504"
"13301";"77,5633";"10,7563";"4,39783";"49,1381";"342,386";"7,08216";"5,36916"
"13302";"30,1273";"10,4188";"3,24774";"15,1165";"221,841";"8,09796";"24,0575"
"13303";"12,9047";"13,8832";"5,57891";"246,728";"70,8808";"3,20012";"46,8569"
"13304";"30,0726";"5,74475";"4,3731";"210,765";"241,462";"8,22671";"16,0287"
"13305";"1,56163";"4,31022";"5,55319";"139,651";"320,023";"7,89625";"22,2938"
"13306";"30,4492";"10,2026";"3,05671";"18,9715";"161,733";"5,82097";"32,1567"
"13307";"96,2003";"14,4689";"3,51976";"1,80135";"95,6747";"4,21959";"35,4766"
"13308";"68,2708";"2,12772";"4,69568";"376,023";"20,1001";"1,2866";"6,19004"
